Usher	There Goes My Baby
Jars Of Clay	They'll Know We Are Christians By Our Love
Mark Schultz	Love Has Come
Robbie Seay Band	Song Of Hope 
Matt Brouwer	Sometimes
Third Day	I Believe
Fee	Glory To God Forever
Sade	Somebody Already Broke My Heart
Al Green	I'm Still In Love With You
Phil Collins	Another Day In Paradise
Jonathan Butler	So Strong
The Cardigans	Lovefool
Ryan Star	Start A Fire
Dido	Hunter
R.E.M.	Shiny Happy People
Evanescence	My Immortal
Michelle Branch	All You Wanted
Tonic	You Wanted More
Fontella Bass	Rescue Me
The Beach Boys	Wouldn't It Be Nice
Three Dog Night	An Old Fashioned Love Song
The Beatles	Here Comes The Sun
Billy Joel	Uptown Girl
The Beatles	Love Me Do 
The Beatles	In My Life
The Beatles	All You Need Is Love
Johnny Nash	I Can See Clearly Now
Three Dog Night	Joy To The World
Ringo Starr	It Don't Come Easy
Shontelle	Perfect Nightmare
Ke$ha	Your Love Is My Drug
Shenandoah	I Want To Be Loved Like That
George Strait	Baby Blue
Porter Wagoner	Green, Green Grass Of Home
John Anderson	Wild And Blue
Merle Haggard	Rainbow Stew
Juice Newton	Angel Of The Morning
Randy Travis	If I Didn't Have You
Johnny Cash	Ring Of Fire
Willie Nelson	Always On My Mind
Dwight Yoakam	Honky Tonk Man
Mark Chesnutt	Brother Jukebox
Cavo	Blame
Sammy Hagar	I Don't Need Love
Alice Cooper	School's Out
Kiss	Do You Love Me?
Led Zeppelin	Nobody's Fault But Mine
ZZ Top	Blue Jean Blues
Thirty Seconds To Mars	This Is War
311	Lovesong
Marilyn Manson	Tainted Love
Muse	Supermassive Black Hole
Three Days Grace	Pain
The Cult	Fire Woman
Nirvana	Polly
Stone Temple Pilots	Unglued
Jimmy Eat World	Pain
Blink-182	I Miss You
Cake	Sick Of You
Metric	Eclipse 
Cake	War Pigs
Marilyn Manson	The Fight Song
Muse	Map Of The Problematique
The Temptations	I Want A Love I Can See
Alejandro Fernandez	Matalas
Mary J. Blige	I Love You
Liquits	Desde Que
Pedro Infante	Luna De Octubre
Bobby Vinton	Mr. Lonely
Tommy James & The Shondells	Crystal Blue Persuasion
Victor Manuelle	Nunca Habia Llorado Asi 
Ian Van Dahl	Will I
Kosheen	Hide U
Ronnie Milsap	Stranger In My House
Hank Williams	Your Cheatin' Heart
Mark Chesnutt	Your Love Is A Miracle
Dolly Parton	Real Love
Patty Loveless	I'm That Kind Of Girl
The Marshall Tucker Band	Heard It In A Love Song
T. Graham Brown	I Tell It Like It Used To Be
Marty Stuart	Burn Me Down
George Strait	Let's Fall To Pieces Together
Sammi Smith	Help Me Make It Through The Night
Dolly Parton	Love Is Like A Butterfly
Dolly Parton	I Will Always Love You
Emmylou Harris	Queen Of The Silver Dollar
Earl Thomas Conley	I Can't Win For Losin' You
Charley Pride	Kiss An Angel Good Mornin'
The Judds	Love Can Build A Bridge
Jack Ingram	Mustang Burn
George Strait	TRUE
Vince Gill	When I Call Your Name
Alabama	Old Flame
Dwight Yoakam	Please Please Baby
Eddie Rabbitt	You And I
Dwight Yoakam	Ain't That Lonely Yet
Jonatha Brooke	Little Bird
Quincy Jones	Killer Joe
Roberta Flack & Donny Hathaway	Where Is The Love
Jon B.	Someone To Love 
Jack Ingram	Love You
Taylor Dayne	I'll Always Love You
Santana	Whole Lotta Love 
Soundgarden	Let Me Drown
Alice Cooper	Poison
Dokken	Alone Again
Iron Maiden	Phantom Of The Opera
Scorpions	Animal Magnetism
Black Sabbath	The Devil Cried
The Who	Long Live Rock
Led Zeppelin	Bring It On Home
Scorpions	Coming Home
Brian McKnight	Love Of My Life
Lionel Richie	Penny Lover
Lisa Stansfield	Change
Celine Dion	Love Can Move Mountains
Jah Cure	Love Is
Jody Watley	Looking For A New Love
Bobby Darin	Dream Lover
The Archies	Sugar, Sugar
Gwen Mccrae	Rockin' Chair
Whitney Houston	You Give Good Love
Paul Anka	Puppy Love
Harold Melvin & The Blue Notes	Don't Leave Me This Way
Gyptian	Beautiful Lady
Bob Marley & The Wailers	So Much Trouble In The World
Donna Summer	Love To Love You Baby
Donna Summer	I Feel Love
New Edition	Lost In Love
Duane Stephenson	Cottage In Negril
Beyonce	Dangerously In Love
Rihanna	Russian Roulette
Michael Jackson	Gone Too Soon
Shania Twain	From This Moment On
Julio Iglesias	My Love
Phillips, Craig & Dean	You Are God Alone
Matt Brouwer	Father, I Adore You
Counting Crows	Accidentally In Love
Fistful Of Mercy	Father's Son
Greg Laswell	Take Everything 
A Flock Of Seagulls	Space Age Love Song
Peter Gabriel	Shock The Monkey
Los Tigres Del Norte	Jose Perez Leon
The Beatles	P.S. I Love You
Portugal. The Man	People Say
Concrete Blonde	Joey
Bruce Springsteen	I'm On Fire
Sufjan Stevens	Vesuvius
Fastball	Out Of My Head
Dire Straits	So Far Away
Train	Cab
Blind Faith	Can't Find My Way Home
Dave Matthews Band	Everyday
Pete Droge & The Sinners	Beautiful Girl
Roxy Music	Jealous Guy
Shawn Colvin	Get Out Of This House
U2	Window In The Skies
Mark Schultz	Love Has Come
Sidewalk Prophets	You Can Have Me
Josh Wilson	Before The Morning
Brandon Heath	Your Love
Jeremy Camp	Take You Back
Third Day	God Of Wonders
The Georgia Mass Choir	Joy
Stevie Wonder	Lookin' For Another Pure Love
Jody Watley	Real Love
Chet Baker	Let's Get Lost
Nina Simone	Feeling Good
Mel Torme	Comin' Home Baby
Freddie Hubbard	Red Clay
Cassandra Wilson	Time After Time
Patrice Rushen	Remind Me
Curtis Mayfield	Give Me Your Love 
Chayanne	Tu Boca
Jeremias	Hay Un Amor Afuera
David Bisbal	Esclavo De Sus Besos
Darlene Zschech	Call Upon His Name 
Aaron Shust	To God Alone
Laura Story	What A Savior
Darrell Evans	Trading My Sorrows
Newsong	My Heart's Already There
Britt Nicole	The Lost Get Found
Jadon Lavik	Hear Our Song
The Afters	All That I Am
Todd Agnew	Joy Unspeakable
Norman Hutchins	Get Ready For Your Miracle
Diana Krall	You're My Thrill
Jonathan Butler	Color Green
John Coltrane	Acknowledgement
Seether	Driven Under
Soundgarden	Rhinosaur
Metallica	Fight Fire With Fire
Deftones	You've Seen the Butcher
Velvet Revolver	Fall To Pieces
Puddle Of Mudd	Away From Me
Staind	Home
Pearl Jam	Glorified G
Alex Bueno	Que Vuelva
Los Iracundos	Y Te Has Quedado Sola
Moenia	Ni Tu Ni Nadie
David Guetta	On The Dancefloor 
Los Cadetes De Linares	El Palomito
La Oreja De Van Gogh	Vestido Azul
Paulina Rubio	Algo De Ti
Fred Hammond & Radical For Christ	I Will Bless His Holy Name
Whitney Houston	Joy 
Israel & New Breed	Friend Of God
Micah Stampley	War Cry
Gary Wright	Love Is Alive
Scissor Sisters	Fire With Fire
The Drifters	Some Kind Of Wonderful
J. Moss	Abundantly
Phil Perry	Love Don't Love Nobody
Cherrelle	Everything I Miss At Home
The Ohio Players	Love Rollercoaster
The Staple Singers	Respect Yourself
Clyde McPhatter	Lover Please
The Jackson 5	Maybe Tomorrow
The Blackbyrds	Walking In Rhythm
Shalamar	Take That To The Bank
Maze	Love Is The Key 
Gerald Levert	Baby Hold On To Me
Maxwell	Fortunate
Eddie Kendricks	Intimate Friends
Teena Marie	Young Love
Ledisi	In The Morning
Miki Howard	Come Share My Love
Smokey Robinson	I Can't Give You Anything But Love
George Benson	Don't Let Me Be Lonely Tonight
Natalie Cole	Our Love
Jimmy Sommers	If I Knew 
Kindred The Family Soul	House Of Love
Anita Baker	Angel
Usher	Burn
Waka Flocka Flame	Bustin' At 'Em
Wavves	Mickey Mouse
Suuns	Organ Blues
The Apples In Stereo	Dream About The Future
Bob Marley & The Wailers	Small Axe
Waking The Cadaver	Boss Status
Jah Cure	Troddin The Valley
Bonnie 'Prince' Billy	Love Comes To Me
Clap Your Hands Say Yeah	In This Home On Ice
No Age	Fever Dreaming
Grizzly Bear	Knife
Out Hud	It's For You
Hot Snakes	Braintrust
Gravenhurst	The Velvet Cell
Jemina Pearl	I Hate People 
Asobi Seksu	Thursday
Someone Still Loves You Boris Yeltsin	In Pairs
Living Sacrifice	The Training
Elliott Smith	Let's Get Lost
Spank Rock	What It Look Like
Stacey Kent	What A Wonderful World
Frank Sinatra	My Kind Of Girl
Ted Weems	Heartaches
Rosemary Clooney	Come On-A My House
Tommy Dorsey & His Orchestra	I'll Never Smile Again 
Billie Holiday	Nice Work If You Can Get It
Nat King Cole	Too Young
Frank Sinatra	Nice 'N' Easy
Nat King Cole	The Very Thought Of You 
Escape The Fate	Issues
Garbage	Stupid Girl
Alkaline Trio	This Addiction
Radiohead	Just
Deftones	Minerva
Sublime	Jailhouse
Against Me!	I Was A Teenage Anarchist
Sade	Love Is Stronger Than Pride
Bruce Hornsby	Walk In The Sun
Brian McKnight	Crazy Love
Lionel Richie	You Are
Harry Nilsson	Jump Into The Fire
The Derek Trucks Band	Rastaman Chant
Monchy & Alexandra	Dos Locos
Chayanne	Un Siglo Sin Ti
Domenic Marte	Eres Asi
Juanes	Me Enamora
Aleks Syntek	Duele El Amor 
Amy Grant	Lucky One
Natalie Cole	Inseparable
Michael Jackson	One More Chance
Robert John	Sad Eyes
Elton John	Blue Eyes
Bread	Make It With You
Wilson Phillips	You're In Love
Three Dog Night	Black & White
Carly Simon	Haven't Got Time For The Pain
Kenny Loggins	Meet Me Half Way
Lionel Richie	Truly
Stevie Wonder	Sweetest Somebody I Know
Michael Jackson	Got To Be There
The Emotions	Don't Ask My Neighbors
The Majors	A Wonderful Dream
The Everly Brothers	All I Have To Do Is Dream
War	The World Is A Ghetto
The O'Jays	For The Love Of Money
The Rolling Stones	I Just Want To Make Love To You
The Beatles	Birthday
The Beatles	The End
.38 Special	Fantasy Girl
The Beatles	Happiness Is A Warm Gun
The Jimi Hendrix Experience	Stone Free
Alice Cooper	Be My Lover
Sanctus Real	The Face Of Love
BarlowGirl	I Need You To Love Me
John Prine	Glory Of True Love
Luciano	For The Leaders
Gregory Isaacs	Slavemaster
Chimaira	Pure Hatred
Sevendust	Bitch
Theory Of A Deadman	Hate My Life
Evans Blue	Cold 
Patricia Barber	Easy To Love
Alabama	Down Home
Jo Dee Messina	Bring On The Rain
Thousand Foot Krutch	Fire It Up
God Forbid	War Of Attrition
Nirvana	Come As You Are
Chiodos	Caves
Nirvana	Polly 
Lit	Miserable
Olga Tanon	Asi Es La Vida
Britney Spears	Toxic
Natasha Bedingfield	These Words
Akon	Don't Matter
Sean Kingston	Fire Burning On The Dance Floor
Robert Plant	You Can't Buy My Love
Rosanne Cash	Motherless Children
The Black Keys	Next Girl
The Beatles	Octopus's Garden
Moby	Study War
Neil Young	Sign Of Love
John Lennon & The Plastic Ono Band	Power To The People
Iron Fire	Still Alive
The Sword	Freya
Inoj	Time After Time
Reba	Strange
Tanya Tucker	Some Kind Of Trouble
Tanya Tucker	Down To My Last Teardrop
Shadows Fall	Still I Rise
Backstreet Boys	Quit Playing Games 
Peter Cetera	Glory Of Love
Blessid Union Of Souls	I Believe
The Gap Band	You Dropped A Bomb On Me
Debbie Gibson	Shake Your Love
Incubus	Love Hurts
The Psychedelic Furs	Heaven
Dinosaur Jr.	Feel The Pain
Echo & The Bunnymen	People Are Strange
Iggy Pop	Lust For Life
Crocodiles	Sleep Forever
Nirvana	Sliver
Ashanti	The Way That I Love You
Maze	Southern Girl 
Carole King	Will You Love Me Tomorrow?
Mint Condition	You Don't Have To Hurt No More
Robin Thicke	The Sweetest Love
Eliane Elias	Movin' Me On
Interpol	Barricade
Rob Zombie	Mars Needs Women
Rascal Flatts	I Won't Let Go
The Beatles	Golden Slumbers
Spirit	Fresh Garbage
Vanilla Fudge	You Keep Me Hangin' On
The Sylvers	Boogie Fever
George Harrison	What Is Life
Nicolette Larson	Lotta Love
Lindsey Buckingham	Trouble
U2	Angel Of Harlem
Grand Funk Railroad	Bad Time
Haddaway	What Is Love
The S.O.S. Band	Take Your Time 
Peter Frampton	I'm In You
Operation Ivy	Unity
Papa Roach	Burn
Apocalyptica	Bring Them To Light 
Kopek	Love Is Dead
Peaches & Herb	Close Your Eyes
The Temptations	You're My Everything
GQ	I Do Love You
Chalino Sanchez	El Crimen De Culiacan
Shedaisy	Come Home Soon
Garth Brooks	Standing Outside The Fire
Lee Ann Womack	I May Hate Myself In The Morning
Nat King Cole	L-O-V-E
Jose Feliciano	Light My Fire
DeBarge	All This Love
Norah Jones	My Blue Heaven
Elmore James	The Sky Is Crying
Elvis Costello	One Bell Ringing
Nicki Minaj	Save Me
Brandon Heath	Your Love
Michael W. Smith	Awesome God
Jeremy Riddle	Bless His Name
Phillips, Craig & Dean	Because I'm Forgiven
Sarah Sadler	Beautiful
Juan Gabriel	Abrazame Muy Fuerte
Chalino Sanchez	Baraja De Oro
Sam Cooke	Trouble Blues
Salvador	You Are There
Billy Ocean	Love Is Forever
Seal	I'm Still In Love With You
Intocable	Contra Viento Y Marea
Sonny James	Young Love
Dolly Parton	Yellow Roses
Innerpartysystem	American Trash
Edward Sharpe & The Magnetic Zeros	Home
Tenacious D	The Metal
The Heartbeats	A Thousand Miles Away
Surface	Happy
The Gap Band	Yearning For Your Love
War	Outlaw
Dinora Y La Juventud	A Puro Dolor
Lhasa	De Cara A La Pared
Duncan Dhu	En Algun Lugar
Miguel Aceves Mejia	Rogaciano
Audioslave	Original Fire
Chickenfoot	Sexy Little Thing
Veruca Salt	Seether
Corinne Bailey Rae	Is This Love
Jack White	Wayfaring Stranger
Cross Canadian Ragweed	Fightin' For
Janie Frickie	It Ain't Easy Bein' Easy
The Statler Brothers	Bed Of Roses
Dolly Parton	But You Know I Love You
Marilyn Manson	The Nobodies
Ozzy Osbourne	Killer Of Giants
L.A. Guns	Never Enough
Iron Maiden	Iron Maiden
Honeymoon Suite	New Girl Now
Stevie Ray Vaughan & Double Trouble	Willie The Wimp 
Faith Evans	Love Like This
Elvis Presley	Jailhouse Rock
Al Martino	I Love You Because
George McCrae	Rock Your Baby
Bruce Springsteen	Save My Love
Dolores O'Riordan	The Journey
She & Him	I Should Have Known Better
Ian Dury & The Blockheads	Hit Me With Your Rhythm Stick
The Red Hot Chili Peppers	Behind The Sun
J.D. Souther	You're Only Lonely
Freelance Whales	Starring
The Cure	Fascination Street
Jack Johnson	Wasting Time
The Beatles	Thank You Girl 
Electronic	Getting Away With It
Chris Tomlin	Our God
Robbie Seay Band	Song of Hope
Hezekiah Walker & The Love Fellowship Crusade Choir	Grateful 
Martha Munizzi	Invincible God
Vickie Winans	The Rainbow
The Shirelles	Will You Love Me Tomorrow
Dianne Reeves	Afro Blue
Black Label Society	Bored To Tears
George Michael	I Want Your Sex
Slayer	War Ensemble
Metallica	Crash Course In Brain Surgery
Monchy & Alexandra	Hasta El Fin
Patrulla 81	Como Me Haces Falta
Aliados De La Sierra	Te Amo
Los Rieleros Del Norte	Un Juego
Conjunto Primavera	El Amor Que Nunca Fue
Luther Vandross	Anyone Who Had A Heart
New Edition	Candy Girl
Tower Of Power	Give Me Your Love
Joan Osborne	War
Jimmy Smith	Strut 
Harry Connick, Jr.	My Blue Heaven
The Brian Setzer Orchestra	The Dirty Boogie
Joni Mitchell	Sometimes I'm Happy
Jimmy Smith	I Just Wanna Make Love To You 
The Naked And Famous	All Of This
The Jesus & Mary Chain	Just Like Honey
Destructor	Skull Splitter
Noah And The Whale	Give A Little Love
Grizzly Bear	Lullabye
Best Coast	Honey
Warpaint	Composure
Sly & The Family Stone	Family Affair
Gliss	Morning Light
Kaiser Chiefs	I Predict A Riot
Buzzcocks	Ever Fallen In Love?
Jay Reatard	DOA
OFF!	Upside Down
The Jesus & Mary Chain	The Hardest Walk
Fang Island	The Illinois
The Decemberists	This Is Why We Fight
No Age	Life Prowler
Someone Still Loves You Boris Yeltsin	Everlyn
Billie Holiday	There Is No Greater Love
Louis Armstrong	Stormy Weather
Chevelle	Vitamin R 
Deftones	Bored
Muse	Knights Of Cydonia
Bebel Gilberto	Aganju
Peter Gabriel	Digging In The Dirt
KMFDM	WWIII
Michael Bolton	Said I Loved You...But I Lied
England Dan & John Ford Coley	It's Sad To Belong
Queen Latifah	What Love Has Joined Together
Roberta Flack	Set The Night To Music 
Otis Redding	Respect
Emerson, Lake & Palmer	From The Beginning
Roisin Murphy	Let Me Know
Elton John	Sad Songs 
Sarah Vaughan	You're Not The Kind
Alan Jackson	A Woman's Love
Dean Martin	Innamorata
Fine Young Cannibals	Ever Fallen In Love
LeAnn Rimes	God Bless America
Diana Krall	Little Girl Blue
Billie Holiday	Did I Remember?
Billie Holiday	The Very Thought Of You
Hamilton, Joe Frank & Reynolds	Fallin' In Love
Mary J. Blige	Real Love 
Trivium	Shattering The Skies Above
Jarabe De Palo	El Lado Oscuro
Ricardo Arjona	Pinguinos En La Cama
The Oak Ridge Boys	Fancy Free
Bobby Bare	500 Miles Away From Home
Willie Nelson	Let It Be Me
Willie Nelson	Blue Skies
Ronnie Milsap	Happy, Happy Birthday Baby
Dolly Parton	Think About Love
Marty Robbins	Big Iron
Faron Young	Hello Walls
Billy Swan	I Can Help
Frank Sinatra	Nice Work If You Can Get It
The Red Hot Chili Peppers	Fortune Faded
Taddy Porter	Shake Me
Rob Zombie	Sick Bubble-Gum
Egypt Central	You Make Me Sick
Juelz Santana	There It Go 
Skindred	Pressure
The Wannadies	Skin
Vanessa Williams	My Flame
Paula Abdul	The Way That You Love Me
My Morning Jacket	Circuital
The Beatles	Yer Blues
George Harrison	Isn't It A Pity
Arthur Brown	Fire
J Boog	Let's Do It Again 
Kapena	Masese
Pat Benatar	Fire And Ice
The Four Tops	When She Was My Girl
The Honey Drippers	Sea Of Love
Emmylou Harris	Home Sweet Home
Toots & The Maytals	Pressure Drop
